"name_sci","name_e","name_c","lat","lon","survey_dat","province","county","location","national_l","IUCN_redli","endemic_c","data_sourc","data_owner"
"Alectoris chukar","Chukor Partridge","石鸡",36.96667,105.91667,NA,"","","宁夏同心县",0,6,0,"王香亭主编,1990","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.9,106.53333,NA,"","","宁夏平罗县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",35.5,106.3,198406,"","","宁夏泾源县",0,6,0,"刘乃发,王香亭,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.5,106.1,196506,"","","宁夏贺兰山",0,6,0,"刘乃发,王香亭,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",36,106.2,198400,"","","宁夏固原县",0,6,0,"刘乃发,王香亭,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.6,110.8,198804,"","","内蒙古伊克昭盟准格尔旗",0,6,0,"张荫荪,梁拴柱,1989","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.6,109.7,198804,"","","内蒙古伊克昭盟伊金霍旗",0,6,0,"张荫荪,梁拴柱,1989","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.8,110,198804,"","","内蒙古伊克昭盟东胜村",0,6,0,"张荫荪,梁拴柱,1989","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.56667,109.73333,NA,"","","内蒙古伊金霍洛旗",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.86667,113.88333,NA,"","","内蒙古兴和县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.91667,108.83333,198703,"","","内蒙古乌梁素海",0,6,0,"邢莲莲,杨贵生,1986","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",41.56667,108.51667,NA,"","","内蒙古乌拉特中旗",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",41.41667,107.03333,NA,"","","内蒙古乌拉特后旗",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.75,109.45,196009,"","","内蒙古乌拉山",0,6,0,"动物所标本(37990)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.95,119.65,199108,"","","内蒙古清水河县",0,6,0,"Bull. OBC 21·July,1995.","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.53333,112.48333,NA,"","","内蒙古凉城县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",43.25,117.51667,NA,"","","内蒙古克什克腾旗",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.8,111.68333,NA,"","","内蒙古呼和浩特市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.83333,108.68333,NA,"","","内蒙古杭锦旗",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.8,109.98333,NA,"","","内蒙古东胜市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",42.3,119.3,197206,"","","内蒙古赤峰市元宝山区",0,6,0,"费荣中,吕梁,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",42.9,119,197206,"","","内蒙古赤峰市翁牛特旗",0,6,0,"费荣中,吕梁,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",41.6,119.3,197206,"","","内蒙古赤峰市宁城县",0,6,0,"费荣中,吕梁,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",41.9,118.6,197206,"","","内蒙古赤峰市喀喇沁旗",0,6,0,"费荣中,吕梁,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",42.26667,118.5,197206,"","","内蒙古赤峰市郊",0,6,0,"费荣中,吕梁,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",42.8,119.6,197206,"","","内蒙古赤峰市红山区",0,6,0,"费荣中,吕梁,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",43.9,120,197206,"","","内蒙古赤峰市阿鲁科尔沁旗",0,6,0,"费荣中,吕梁,1993","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.70833,110.60833,198500,"","","内蒙古包头市土默特右旗九峰山",0,6,0,"赵国钦,张文广,1989","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.70833,110.60833,198600,"","","内蒙古包头市土默特右旗",0,6,0,"赵国钦,张文广,1989","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.63333,109.2,196009,"","","内蒙古白彦花",0,6,0,"动物所标本(38002)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",41.56667,108.48333,196406,"","","内蒙古巴盟海流图",0,6,0,"动物所标本(53839)","Ding, Changqing"
